R,S1,S2,S3,NODE1,TYPE1,TEXT1,gloss1,lex1,prepositional
1,Genesis,6,14,1437952,lex,בַּיִת ,house,BJT/,n
2,Genesis,6,14,1437953,lex,חוּץ ,outside,XWY/,y
3,Isaiah,17,6,1442946,lex,אָמִיר ,branch,>MJR/,y
4,Genesis,49,26,1439363,lex,גִּבְעָה ,hill,GB<H/,y
5,Genesis,40,1,1439107,lex,אֹפֶה ,baker,>PH/,n
6,Genesis,2,8,1437700,lex,קֶדֶם ,front,QDM/,y
7,Genesis,6,15,1437958,lex,קֹומָה ,height,QWMH/,y
8,Genesis,3,24,1437826,lex,דֶּרֶךְ ,way,DRK/,y
9,Genesis,27,28,1438728,lex,שָׁמָן ,fat,CMN==/,n
10,Genesis,31,27,1438859,lex,שִׂמְחָה ,joy,FMXH/,n
11,Genesis,10,14,1438095,lex,פְּלִשְׁתִּי ,Philistine,PLCTJ/,n
12,Judges,6,26,1441552,lex,מָעֹוז ,fort,M<WZ/,y
13,Leviticus,1,2,1440017,lex,קָרְבָּן ,offering,QRBN/,n
14,Genesis,7,11,1437970,lex,חֹדֶשׁ ,month,XDC=/,y
15,Genesis,4,7,1437847,lex,חַטָּאת ,sin,XV>T/,n
16,Genesis,1,5,1437593,lex,קרא ,call,QR>[,n
17,Genesis,41,5,1439130,lex,שִׁבֹּלֶת ,grain,CBLT/,n
18,Numbers,31,11,1440667,lex,מַלְקֹוחַ ,what is taken,MLQWX/,n
19,Genesis,7,19,1437982,lex,הַר ,mountain,HR/,y
20,Genesis,1,5,1437599,lex,אֶחָד ,one,>XD/,n
21,Exodus,28,33,1439905,lex,רִמֹּון ,pomegranate,RMWN/,n
22,Proverbs,23,34,1444897,lex,חִבֵּל ,<uncertain>,XBL=====/,n
23,Genesis,14,2,1438243,lex,מִלְחָמָה ,war,MLXMH/,n
24,Genesis,41,19,1439140,lex,דַּל ,poor,DL/,n
25,Esther,4,11,1445156,lex,שַׁרְבִיט ,staff,CRBJV/,n
26,1_Kings,1,41,1442215,lex,המה ,make noise,HMH[,n
27,Exodus,29,6,1439914,lex,נֵזֶר ,consecration,NZR/,n
28,Exodus,10,11,1439531,lex,גֶּבֶר ,vigorous man,GBR/,n
29,Genesis,4,17,1437868,lex,עִיר ,town,<JR/,y
30,Exodus,25,6,1439791,lex,בֹּשֶׂם ,balsam-tree,BFM/,n
31,Genesis,1,11,1437618,lex,זֶרַע ,seed,ZR</,n
32,Genesis,32,16,1438899,lex,פַּר ,young bull,PR/,n
33,Genesis,2,22,1437748,lex,אִשָּׁה ,woman,>CH/,n
34,Exodus,12,3,1439541,lex,עֵדָה ,gathering,<DH/,n
35,Genesis,2,23,1437752,lex,אִישׁ ,man,>JC/,n
36,Genesis,47,31,1439290,lex,מִטָּה ,couch,MVH=/,y
37,Genesis,2,24,1437754,lex,אָב ,father,>B/,n
38,Genesis,1,14,1437627,lex,שָׁנָה ,year,CNH/,y
39,Exodus,17,6,1439677,lex,צוּר ,rock,YWR/,y
40,Genesis,1,16,1437629,lex,שְׁנַיִם ,two,CNJM/,n
41,Genesis,8,20,1438016,lex,עֹלָה ,burnt-offering,<LH/,n
42,Genesis,41,56,1439171,lex,שׁבר ,buy grain,CBR=[,n
43,2_Samuel,5,23,1441988,lex,בָּכָא ,baka-shrub,BK>/,n
